property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10063301,7407 Shoreham Dr,Castle Pines,CO,80108,4,2.5,3528,3431.0,39.47021,-104.89244,Douglas County RE 1 School District,661145.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063354,9735 Garwood St,Littleton,CO,80125,3,3.0,1327,2100.0,39.47512,-105.06784,Douglas County RE 1 School District,469085.0,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063380,3804 S Rome Way,Aurora,CO,80018,4,3.0,2349,2785.0,39.64753,-104.73028,Cherry Creek 5 School District,480040.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10063388,206 N Coolidge Way,Aurora,CO,80018,4,2.5,3114,3029.0,39.72117,-104.70905,Adams-Arapahoe 28J School District,499992.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10063789,7375 Braun Way,Arvada,CO,80005,3,3.0,1967,2845.0,39.83056,-105.15157,Jefferson County R-1 School District,542720.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10063940,13157 E Dakota Ave,Aurora,CO,80012,3,2.0,1679,2305.0,39.70836,-104.83612,Adams-Arapahoe 28J School District,416322.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10063957,16166 E Exposition Dr,Aurora,CO,80017,3,2.0,1920,2625.0,39.70348,-104.79943,Adams-Arapahoe 28J School District,386530.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10063961,10530 E 10th Ave,Aurora,CO,80010,3,3.0,2240,2590.0,39.73082,-104.86475,Adams-Arapahoe 28J School District,356444.95,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10063963,3591 Morning Glory Dr,Castle Rock,CO,80109,3,2.5,2172,3028.0,39.41661,-104.89987,Douglas County RE 1 School District,494619.95,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10063970,4702 Orleans St,Denver,CO,80249,3,2.5,1709,2490.0,39.7814,-104.73679,Denver County 1 School District,395354.95,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10063975,3625 Fairfax St,Denver,CO,80207,3,1.5,1355,2365.0,39.76798,-104.92849,Denver County 1 School District,472075.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10063986,10744 Moore Cir,Westminster,CO,80021,3,1.5,1632,2475.0,39.89202,-105.11254,Jefferson County R-1 School District,424694.95,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10064013,8497 Wild Alfalfa Pl,Parker,CO,80134,4,2.0,1668,2300.0,39.56277,-104.79805,Douglas County RE 1 School District,418828.85,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10064036,176 Monares Ln,Erie,CO,80516,5,4.0,2645,2899.0,40.04116,-105.0387,St. Vrain Valley RE 1J School District,441894.9,9.26,0.88,3.58,12.23,0.21,0.07,2.97,80.07,11.8
10064043,3690 Magnolia St,Denver,CO,80207,3,1.0,1544,2165.0,39.76843,-104.91145,Denver County 1 School District,498887.45,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10064060,574 S Joplin St,Aurora,CO,80017,3,2.0,1596,2490.0,39.70518,-104.80328,Adams-Arapahoe 28J School District,337550.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10064086,2655 Atchison St,Aurora,CO,80011,3,1.5,1285,2085.0,39.75506,-104.82432,Adams-Arapahoe 28J School District,372444.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10064107,4642 Malaya St,Denver,CO,80249,3,2.0,1610,2296.0,39.78064,-104.74189,Denver County 1 School District,380709.45,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10064108,14531 E Gunnison Pl,Aurora,CO,80012,3,2.5,1868,2545.0,39.68879,-104.81826,Adams-Arapahoe 28J School District,366835.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10064112,18895 E Utah Cir,Aurora,CO,80017,3,2.0,1602,2445.0,39.68272,-104.76847,Adams-Arapahoe 28J School District,340590.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10064128,15682 E Colorado Ave,Aurora,CO,80017,3,1.5,1168,1995.0,39.6844,-104.80583,Adams-Arapahoe 28J School District,279534.5,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10064134,1205 Bluebird St,Brighton,CO,80601,3,2.0,1470,2325.0,39.9696,-104.83738,Brighton 27J School District,377390.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
