property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng
10111679,3597 S Halifax Way,Aurora,CO,80013,3,2.5,1830,2600.0,39.65118,-104.75496
10111870,12426 Dexter St,Thornton,CO,80241,3,2.5,1549,2625.0,39.92233,-104.93305
10111927,3663 E 133rd Ct,Thornton,CO,80241,3,2.5,2240,2500.0,39.93676,-104.94433
10112212,8955 Cody Ct,Westminster,CO,80021,4,2.0,1584,2522.0,39.86043,-105.09449
10112259,2464 S Gibralter Way,Aurora,CO,80013,3,2.5,1582,2510.0,39.67377,-104.75468
10112282,6486 S Dexter St,Centennial,CO,80121,5,2.0,2028,2849.0,39.59963,-104.93205
10112362,12757 S Red Rosa Cir,Parker,CO,80134,3,2.5,2167,2890.0,39.485004,-104.783414
10112395,18275 E Bellewood Dr,Aurora,CO,80015,3,3.5,2164,2725.0,39.62502,-104.77515
10112529,9764 Columbine Ct,Thornton,CO,80229,4,2.0,1908,2665.0,39.87324,-104.95627
10112548,12831 Billingsley Trl,Parker,CO,80134,4,2.5,1892,2732.0,39.482911,-104.787269
10113259,19775 E Oxford Dr,Aurora,CO,80013,4,3.0,2049,2737.0,39.642,-104.75932
10113461,17574 E Bellewood Cir,Aurora,CO,80015,4,2.5,2536,3035.0,39.62435,-104.78309
10114198,501 Emery Rd,Northglenn,CO,80233,4,2.0,1954,2475.0,39.89874,-104.97971
10115089,10062 Milwaukee St,Thornton,CO,80229,3,2.5,1591,2545.0,39.87842,-104.95208
10115252,16430 Race St,Thornton,CO,80602,3,3.0,1672,2675.0,39.99459,-104.962
10115518,22039 E Princeton Cir,Aurora,CO,80018,3,2.5,1522,2525.0,39.63974,-104.73039
10115542,5558 S Ireland Way,Centennial,CO,80015,3,2.5,1846,2610.0,39.61577,-104.75141
10115563,15883 E Bethany Pl,Aurora,CO,80013,5,3.0,1860,2425.0,39.66316,-104.80322
10115863,12193 Monaco Dr,Brighton,CO,80602,3,2.0,1809,2500.0,39.91704,-104.91232
10115951,10277 Dusk Way,Littleton,CO,80125,4,3.0,2100,2765.0,39.4743,-105.07861
