,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
98,5705 S Andes Street,Aurora,80015,5.0,3.0,"2,832",687000,"$3,368",$64,Monthly,39.61501786,-104.77202067,Cherry Creek 5,Rolling Hills,Falcon Creek,Grandview
99,185 Allison Street,Lakewood,80226,3.0,2.0,"1,983",687000,"$2,636",$0,N/A,39.71996428,-105.086048,Jefferson County R-1,South Lakewood,Creighton,Lakewood
100,8095 E Lehigh Avenue,Denver,80237,3.0,3.0,"2,787",685000,"$1,429",$0,N/A,39.6474896,-104.89512801,Denver 1,Samuels,Hamilton,Thomas Jefferson
101,3363 Vivian Drive,Wheat Ridge,80033,4.0,3.0,"3,032",685000,"$3,233",$0,N/A,39.76375337,-105.13517229,Jefferson County R-1,Kullerstrand,Everitt,Wheat Ridge
102,21016 E Radcliff Place,Aurora,80013,4.0,4.0,"2,752",678311,$0,$80,Monthly,39.63641967,-104.74410765,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
103,6053 N Nepal Street,Aurora,80019,3.0,3.0,"2,462",675500,$484,$79,Monthly,39.80659042,-104.74083537,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
104,8225 W 66 Avenue,Arvada,80004,3.0,2.0,"2,016",675000,"$2,345",$0,N/A,39.81652904,-105.08887446,Jefferson County R-1,Peck,Arvada K-8,Arvada
105,4021 King Street,Denver,80211,2.0,1.0,886,675000,"$2,880",$0,N/A,39.77237373,-105.03320022,Denver 1,Centennial,Denver Montessori,North
106,1180 Roslyn Street,Denver,80220,3.0,3.0,"1,601",675000,"$2,528",$0,N/A,39.73533907,-104.90058866,Denver 1,Montclair,Hill,George Washington
107,5459 S Rifle Street,Centennial,80015,5.0,3.0,"3,210",675000,"$3,283",$60,Annually,39.61729352,-104.78617382,Cherry Creek 5,Trails West,Falcon Creek,Grandview
108,4642 Decatur Street,Denver,80211,3.0,2.0,"1,723",675000,"$2,179",$0,N/A,39.78103629,-105.02135385,Denver 1,Bryant-Webster,Skinner,North
109,3310 Independence Court,Wheat Ridge,80033,3.0,2.0,"2,367",675000,"$2,359",$0,N/A,39.76318339,-105.10529619,Jefferson County R-1,Wilmore-Davis,Everitt,Wheat Ridge
110,1165 Rosemary Street,Denver,80220,4.0,3.0,"2,527",675000,"$1,811",$0,N/A,39.73482098,-104.90015301,Denver 1,Montclair,Hill,George Washington
111,21554 E 59th Drive,Aurora,80019,4.0,4.0,"3,269",674632,"$1,935",$79,Monthly,39.80533989,-104.73519973,Adams-Arapahoe 28J,Harmony Ridge P-8,Harmony Ridge P-8,Vista Peak
112,5021 N Quemoy Court,Aurora,80019,2.0,2.0,"1,881",674339,"$9,705",$195,Monthly,39.78619549,-104.73035118,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
113,2384 S Hoyt Street,Lakewood,80227,4.0,3.0,"2,670",673000,"$3,157",$0,N/A,39.67324342,-105.10213277,Jefferson County R-1,Green Gables,Carmody,Bear Creek
114,4960 E Dartmouth Avenue,Denver,80222,3.0,2.0,"2,330",672000,"$2,215",$0,N/A,39.66070433,-104.9297367,Denver 1,Bradley,Hamilton,Thomas Jefferson
115,21394 E Stanford Avenue,Aurora,80015,4.0,3.0,"2,411",671714,$0,$357,Semi-Annually,39.63567075,-104.73873727,Cherry Creek 5,Aspen Crossing,Sky Vista,Eaglecrest
116,3965 Miller Street,Wheat Ridge,80033,2.0,2.0,"1,829",670000,"$2,556",$270,Monthly,39.77132982,-105.1142568,Jefferson County R-1,Prospect Valley,Everitt,Wheat Ridge
117,20988 E 60th Place,Aurora,80019,4.0,4.0,"3,269",669068,$484,$79,Monthly,39.80533989,-104.73519973,Adams-Arapahoe 28J,Harmony Ridge P-8,Harmony Ridge P-8,Vista Peak
118,2610 S Kipling Court,Lakewood,80227,4.0,3.0,"3,859",667900,"$3,372",$345,Monthly,39.66825,-105.10998,Jefferson County R-1,Bear Creek,Carmody,Bear Creek
119,5031 Quemoy Court,Aurora,80019,2.0,2.0,"2,542",666296,"$9,502",$195,Monthly,39.786493,-104.730676,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
120,4357 S Malaya Way,Aurora,80013,4.0,4.0,"2,566",665972,$0,$80,Monthly,39.63713859,-104.7430592,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
121,18927 E Crestridge Circle,Aurora,80015,5.0,4.0,"2,767",663300,"$3,002",$65,Monthly,39.61585,-104.76806,Cherry Creek 5,Rolling Hills,Falcon Creek,Grandview
122,656 Mc Intyre Street,Golden,80401,4.0,3.0,"1,835",660000,"$2,767",$0,N/A,39.72638845,-105.17446712,Jefferson County R-1,Welchester,Bell,Golden
123,6453 Kendall Street,Arvada,80003,4.0,3.0,"2,386",660000,"$1,741",$0,N/A,39.81465933,-105.0665484,Jefferson County R-1,Swanson,North Arvada,Arvada
124,21737 E Stanford Drive,Aurora,80015,3.0,2.0,"1,924",659950,$0,$63,Monthly,39.63442123,-104.73449565,Cherry Creek 5,Mountain Vista,Sky Vista,Eaglecrest
125,4940 S Elati Street,Englewood,80110,5.0,2.0,"2,268",659900,"$1,407",$0,N/A,39.62687719,-104.9934259,Englewood 1,Clayton,Englewood,Englewood
126,1775 Quince Street,Denver,80220,3.0,2.0,"1,641",655900,"$2,304",$0,N/A,39.74510572,-104.90254308,Denver 1,Ashley,Hill,George Washington
127,8196 E Lehigh Avenue,Denver,80237,5.0,3.0,"2,454",655000,,$0,N/A,39.647,-104.89395,Denver 1,Samuels,Hamilton,Thomas Jefferson
128,5776 W 80th Circle,Arvada,80003,4.0,3.0,"3,128",655000,"$3,105",$55,Monthly,39.84203135,-105.06073381,Jefferson County R-1,Parr,Moore,Pomona
129,8196 E Lehigh Avenue,Denver,80237,5.0,3.0,"2,454",655000,"$2,253",$0,N/A,39.64703281,-104.8938789,Denver 1,Samuels,Hamilton,Thomas Jefferson
130,3092 S Kearney Street,Denver,80222,4.0,3.0,"2,774",654000,"$2,355",$0,N/A,39.66073338,-104.917678,Cherry Creek 5,Holly Hills,West,Cherry Creek
131,7140 N Gladiola,Arvada,80004,4.0,4.0,"2,757",652000,"$3,008",$0,N/A,39.82595745,-105.16273785,Jefferson County R-1,Van Arsdale,Oberon,Ralston Valley
132,21721 E 50th Drive,Aurora,80019,3.0,3.0,"2,542",650531,"$8,716",$185,Monthly,39.78590007,-104.73389429,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
133,4350 W Bellewood Drive,Denver,80123,3.0,2.0,"2,132",650000,"$2,136",$0,N/A,39.62819542,-105.04300733,Denver 1,Kaiser,DSST: College View,John F. Kennedy
134,2350 S Dahlia Street,Denver,80222,4.0,2.0,"2,509",650000,"$4,510",$0,N/A,39.67346964,-104.93116267,Denver 1,University Park,Merrill,Thomas Jefferson
135,21283 E 48th Drive,Denver,80249,4.0,4.0,"3,783",650000,"$3,164",$0,N/A,39.78289833,-104.73954499,Denver 1,Waller,Dr. Martin Luther King,Dr. Martin Luther King
136,2010 Zephyr Street,Lakewood,80214,7.0,4.0,"3,500",650000,"$2,223",$0,N/A,39.74774948,-105.08477386,Jefferson County R-1,Slater,Creighton,Lakewood
137,11945 W Brandt Place,Littleton,80127,3.0,4.0,"3,135",650000,"$3,356",$49,Monthly,39.61527026,-105.13274964,Jefferson County R-1,Mount Carbon,Summit Ridge,Dakota Ridge
138,623 S Ivy Way,Denver,80224,4.0,3.0,"1,898",650000,"$1,537",$0,N/A,39.70440726,-104.92080434,Denver 1,McMeen,Hill,George Washington
139,12503 W Hawaii Avenue,Lakewood,80228,5.0,3.0,"2,624",650000,"$2,499",$0,N/A,39.68799673,-105.14042542,Jefferson County R-1,Devinny,Dunstan,Green Mountain
140,1835 S Welch Circle,Lakewood,80228,4.0,2.0,"2,388",650000,"$1,878",$0,N/A,39.68545553,-105.14688818,Jefferson County R-1,Hutchinson,Dunstan,Green Mountain
141,5250 Highline Place,Denver,80222,3.0,2.0,"1,548",650000,"$2,589",$0,N/A,39.66012603,-104.92639517,Denver 1,Bradley,Hamilton,Thomas Jefferson
142,1755 S Garfield Street,Denver,80210,3.0,2.0,"1,670",650000,"$2,940",$0,N/A,39.68482345,-104.94447808,Denver 1,Cory,Merrill,South
143,3336 S Pearl Street,Englewood,80113,3.0,2.0,"1,858",650000,"$2,224",$0,N/A,39.65609193,-104.98021459,Englewood 1,Charles Hay,Englewood,Englewood
144,3710 Ames Street,Wheat Ridge,80212,3.0,2.0,"2,387",650000,"$2,529",$0,N/A,39.7683002,-105.05408375,Jefferson County R-1,Stevens,Everitt,Wheat Ridge
145,1533 E 29th Avenue,Denver,80205,4.0,1.0,"1,691",650000,"$1,962",$0,N/A,39.75847847,-104.96864027,Denver 1,Whittier  E-8,Whittier  E-8,Manual
146,4120 Monroe Street,Denver,80216,3.0,2.0,"1,459",650000,"$1,678",$0,N/A,39.77428259,-104.944914,Denver 1,Harrington,McAuliffe International,Manual
147,4722 S Biscay Court,Aurora,80015,4.0,3.0,"2,528",649900,"$2,260",$52,Monthly,39.63096966,-104.76672446,Cherry Creek 5,Peakview,Thunder Ridge,Eaglecrest
148,5309 Liverpool Street,Denver,80249,6.0,4.0,"4,067",649900,"$4,203",$0,N/A,39.79233,-104.74468,Denver 1,Other,Other,Dr. Martin Luther King
149,5515 W 73rd Avenue,Westminster,80003,4.0,4.0,"2,708",649900,"$2,833",$100,Monthly,39.82930553,-105.05682746,Jefferson County R-1,Thomson,North Arvada,Arvada
150,4445 S Delaware Street,Englewood,80110,5.0,2.0,"1,965",649900,"$1,198",$0,N/A,39.63572848,-104.99281205,Englewood 1,Clayton,Englewood,Englewood
